County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
Mason,53045 2008,200853045,2008,53045,6.7,20.5,3.1,8.1,,8.2,7.5,8.1,10.5,20.7,0.2,13.2,0.7,32.6,41.1,22.3,3.6,1.6,2.4
Okanogan,53047 2008,200853047,2008,53047,7.9,20.5,2.8,7.0,,9.4,6.2,9.9,11.4,21.3,0.3,12.5,0.5,33.2,37.5,21.5,3.7,1.9,2.4
Pacific,53049 2008,200853049,2008,53049,7.8,23.1,3.2,8.3,,11.0,7.0,9.5,10.7,24.9,,15.1,0.7,37.5,49.6,24.7,4.4,1.7,2.9
Pend Oreille,53051 2008,200853051,2008,53051,6.2,18.2,2.7,5.6,0.0,9.9,6.0,9.3,8.6,22.9,,12.3,0.8,29.9,35.4,22.1,4.5,2.0,2.9
Pierce,53053 2008,200853053,2008,53053,8.9,22.0,4.0,7.2,0.1,10.1,6.6,11.8,12.5,22.6,0.2,14.7,0.9,35.4,46.4,20.7,6.0,3.5,3.4
San Juan,53055 2008,200853055,2008,53055,7.2,18.7,3.0,9.3,,4.7,7.7,6.2,10.4,12.9,,9.7,0.9,31.3,36.9,17.8,3.9,1.2,2.1
Skagit,53057 2008,200853057,2008,53057,8.6,19.8,3.2,9.1,0.1,7.8,7.7,9.1,13.3,20.3,0.1,12.2,0.6,33.3,45.6,20.8,4.7,2.6,3.0
Skamania,53059 2008,200853059,2008,53059,6.6,12.2,2.9,7.1,,7.2,7.2,8.2,8.8,20.4,0.0,13.7,,23.4,38.1,15.9,3.1,1.4,2.6
Snohomish,53061 2008,200853061,2008,53061,9.2,20.0,3.5,7.7,0.1,7.7,7.0,12.3,13,22.4,0.3,12.4,0.9,31.0,41.2,20.9,4.6,3.1,3.3
Spokane,53063 2008,200853063,2008,53063,10.0,22.4,3.5,7.8,0.1,9.6,7.2,11.9,12.8,21.0,0.2,12.8,0.7,35.4,43.2,21.5,6.6,3.6,3.5
Stevens,53065 2008,200853065,2008,53065,6.8,22.4,3.4,7.0,,11.1,7.0,8.7,8.6,20.9,,12.3,0.6,27.1,34.8,22.8,4.9,1.8,3.2
Thurston,53067 2008,200853067,2008,53067,9.1,21.3,3.7,6.7,0.1,8.0,6.6,9.9,12.4,20.4,0.2,13.4,0.7,29.9,38.9,20.9,4.7,3.0,3.0
Wahkiakum,53069 2008,200853069,2008,53069,6.7,21.8,4.7,9.8,0.0,9.7,6.4,12.0,10,22.3,,15.8,,34.1,44.8,25.2,4.0,3.0,2.1
Walla Walla,53071 2008,200853071,2008,53071,11.7,22.2,4.6,8.9,,9.0,9.3,9.1,11.6,22.2,,15.7,0.5,34.7,44.4,23.2,6.3,2.7,3.3
Whatcom,53073 2008,200853073,2008,53073,9.1,18.3,4.0,9.4,0.1,7.6,7.3,9.9,13.3,20.9,0.3,12.8,1.5,35.0,45.0,23.6,5.5,3.4,2.9
Whitman,53075 2008,200853075,2008,53075,9.6,30.7,6.8,7.6,,10.2,8.1,12.0,10.2,23.1,,17.1,0.4,30.7,46.0,25.3,6.6,3.4,4.3
Yakima,53077 2008,200853077,2008,53077,9.0,22.0,3.8,7.6,0.1,9.5,7.7,11.0,12.3,26.3,0.2,15.7,0.7,38.3,46.1,24.7,5.0,2.7,3.3
State Total,.2009,200953000,2009,.,9.3,21.6,3.8,7.8,0.1,8.5,7.1,11.8,12.8,22.0,0.3,13.0,0.8,34.7,44.5,21.2,5.3,3.1,3.1
Adams,53001 2009,200953001,2009,53001,11.0,25.3,2.6,7.6,0.0,9.7,6.8,14.1,11.2,28.8,,15.3,,35.4,47.3,26.0,4.6,2.6,2.7
Asotin,53003 2009,200953003,2009,53003,11.2,25.9,4.1,7.9,,10.3,8.8,11.9,11.4,25.0,,16.9,0.5,37.8,45.7,24.0,4.8,2.5,3.3
Benton,53005 2009,200953005,2009,53005,11.7,25.2,4.8,7.4,0.1,10.6,7.9,12.1,14.2,26.5,0.1,12.9,0.6,44.6,50.1,26.0,6.4,2.7,4.0
Chelan,53007 2009,200953007,2009,53007,9.5,22.0,3.1,8.8,,7.6,7.4,9.8,15.1,20.8,,10.5,0.6,32.9,42.1,19.3,5.0,2.5,3.2
Clallam,53009 2009,200953009,2009,53009,8.0,25.9,4.1,8.1,,8.2,7.5,8.3,12.1,20.1,0.1,12.0,0.7,35.4,44.8,20.1,6.1,2.1,2.7
Clark,53011 2009,200953011,2009,53011,9.3,17.4,4.3,7.4,0.1,8.4,6.2,13.0,14.2,23.6,0.2,14.3,0.8,31.2,43.0,20.4,4.0,3.4,3.1
Columbia,53013 2009,200953013,2009,53013,9.6,22.7,4.3,6.1,,10.8,7.2,12.8,13.8,23.7,,14.3,0.0,34.1,44.4,25.9,4.0,3.9,1.8
Cowlitz,53015 2009,200953015,2009,53015,9.6,23.0,5.2,8.6,0.1,12.3,6.1,13.7,15.5,24.7,0.3,16.4,0.7,33.2,46.6,22.5,5.4,4.4,3.1
Douglas,53017 2009,200953017,2009,53017,9.2,23.9,3.3,8.6,,8.6,7.9,10.5,15.1,21.8,0.0,12.2,0.5,36.9,42.6,21.3,5.1,2.2,3.5
Ferry,53019 2009,200953019,2009,53019,6.0,17.4,2.2,5.5,0.0,10.2,6.3,7.7,8.9,19.2,,12.9,,25.2,33.4,22.3,3.4,2.2,2.0
Franklin,53021 2009,200953021,2009,53021,10.0,21.6,4.4,6.3,,9.6,6.3,12.2,11.6,29.2,,12.3,1.0,43.8,47.1,25.7,5.0,2.8,3.6
Garfield,53023 2009,200953023,2009,53023,15.7,24.7,2.6,6.6,0.0,9.7,10.8,15.5,15.5,28.3,0.0,19.0,,49.4,55.2,26.9,5.1,2.4,3.3
Grant,53025 2009,200953025,2009,53025,8.7,26.1,3.3,7.4,,10.0,6.4,10.3,11.6,26.6,0.2,13.8,0.5,35.5,45.3,21.8,3.9,2.3,2.7
Grays Harbor,53027 2009,200953027,2009,53027,7.9,21.9,4.4,8.2,,11.7,6.7,13.5,13.4,25.1,0.2,16.4,0.7,40.4,51.6,24.7,4.2,2.6,3.9
Island,53029 2009,200953029,2009,53029,7.7,23.9,3.4,8.1,,7.0,8.8,9.7,10.6,19.9,0.2,12.2,0.5,39.4,45.9,21.1,5.0,1.7,2.8
Jefferson,53031 2009,200953031,2009,53031,6.1,18.7,3.0,9.3,,6.0,7.7,8.7,10.8,16.8,,11.4,0.6,36.2,44.9,17.8,4.5,1.2,3.0
King,53033 2009,200953033,2009,53033,10.2,20.1,3.6,7.6,0.1,6.7,6.9,12.3,12.8,20.1,0.6,11.6,1.1,32.2,43.0,20.4,5.5,3.7,3.0
Kitsap,53035 2009,200953035,2009,53035,9.1,20.8,4.1,8.5,0.1,8.0,6.9,12.4,12.6,21.8,0.2,14.8,0.6,37.5,46.8,19.3,4.7,2.7,3.0
Kittitas,53037 2009,200953037,2009,53037,7.5,24.1,3.1,8.1,,6.9,7.7,7.8,8.9,19.4,,10.7,0.6,35.5,41.5,20.3,4.0,1.9,2.2
Klickitat,53039 2009,200953039,2009,53039,7.4,15.7,2.3,7.2,,7.8,7.1,7.2,9.8,21.1,,13.3,0.3,30.9,35.5,17.9,3.3,1.9,3.0
Lewis,53041 2009,200953041,2009,53041,8.5,20.8,2.9,8.4,,9.4,6.7,10.2,12.6,22.5,0.1,14.8,0.7,34.6,42.4,22.9,5.6,2.1,3.6
Lincoln,53043 2009,200953043,2009,53043,9.5,27.3,3.7,8.9,0.0,10.0,7.6,10.9,11.2,23.7,0.0,12.4,,37.4,45.2,23.8,6.7,2.3,3.7
