County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
Yakima,53077 2013,201353077,2013,53077,8.8,24.8,4.9,6.8,0.1,9.3,7.1,14.8,16.5,27.7,0.1,12.7,0.8,41.3,50.1,23.1,4.3,3.1,3.1
State Total,.2014,201453000,2014,.,8.6,24.1,4.3,8.2,0.1,8.3,7.2,15.0,15.2,22.3,0.3,11.5,0.9,35.0,44.2,19.7,4.6,3.1,3.0
Adams,53001 2014,201453001,2014,53001,8.1,24.7,3.7,7.4,,7.9,5.6,15.7,13.1,28.1,,10.8,,37.1,47.7,23.8,3.2,1.7,2.5
Asotin,53003 2014,201453003,2014,53003,7.0,29.4,5.8,7.7,,11.3,7.7,13.1,14.8,25.5,,14.9,0.7,36.7,47.8,23.3,4.0,2.8,2.6
Benton,53005 2014,201453005,2014,53005,10.0,29.1,6.1,8.0,0.2,10.7,8.1,18.2,16.1,26.6,0.1,11.1,0.7,48.2,52.0,21.9,5.4,2.8,3.4
Chelan,53007 2014,201453007,2014,53007,10.0,24.4,3.8,9.3,,8.4,8.3,14.9,17.7,21.5,,9.9,0.7,34.8,46.0,18.5,5.0,2.6,3.3
Clallam,53009 2014,201453009,2014,53009,7.7,28.0,5.0,9.2,0.1,8.6,7.1,12.2,15.1,20.7,0.1,11.8,0.8,37.4,47.2,19.1,5.7,1.9,3.2
Clark,53011 2014,201453011,2014,53011,9.2,21.8,5.3,7.9,0.2,8.6,6.3,15.3,17.6,23.7,0.2,12.9,1.2,31.9,43.2,19.5,4.8,3.7,3.0
Columbia,53013 2014,201453013,2014,53013,9.6,23.7,4.7,8.0,,9.9,6.4,19.1,14.2,25.7,0.0,12.3,,40.3,46.4,23.2,4.3,4.3,2.3
Cowlitz,53015 2014,201453015,2014,53015,9.1,23.5,5.3,8.7,0.2,10.8,6.4,16.4,18.6,25.2,0.2,16.0,0.9,32.0,44.9,20.5,5.9,4.4,3.3
Douglas,53017 2014,201453017,2014,53017,9.1,25.5,3.9,10.0,,9.2,9.0,15.9,17.2,23.6,,10.6,0.7,38.9,48.9,20.2,5.0,2.1,2.9
Ferry,53019 2014,201453019,2014,53019,4.3,22.8,3.9,6.6,0.0,8.8,5.3,9.0,10.1,18.7,,10.2,,26.5,34.6,20.0,3.8,1.6,2.9
Franklin,53021 2014,201453021,2014,53021,9.4,29.0,4.9,6.6,,9.6,6.8,17.9,14.5,29.2,,10.0,0.7,47.6,50.9,22.6,4.9,2.2,3.7
Garfield,53023 2014,201453023,2014,53023,7.6,27.9,2.9,4.0,,6.8,9.0,9.9,10.1,23.1,,12.6,,25.8,33.9,19.3,3.2,2.0,2.9
Grant,53025 2014,201453025,2014,53025,8.6,26.4,3.3,8.1,,10.6,6.8,16.3,14.7,28.3,0.1,12.1,0.5,39.7,50.5,20.9,3.4,2.5,2.6
Grays Harbor,53027 2014,201453027,2014,53027,7.0,22.4,4.7,8.9,0.1,10.1,6.5,15.1,13.1,25.1,0.1,14.5,0.7,36.6,47.3,20.3,2.2,2.4,3.4
Island,53029 2014,201453029,2014,53029,6.6,23.5,3.6,8.3,0.2,6.6,7.9,12.2,13.1,20.5,0.1,9.6,0.5,34.1,43.6,18.3,3.6,1.4,2.7
Jefferson,53031 2014,201453031,2014,53031,5.1,23.8,3.4,8.1,,6.4,7.7,11.0,13.6,16.4,,9.6,0.7,31.5,39.5,16.0,3.5,1.4,2.5
King,53033 2014,201453033,2014,53033,9.8,22.6,3.9,8.1,0.1,6.5,7.3,15.4,14.6,20.3,0.6,10.6,1.1,32.6,42.5,19.0,4.8,3.6,3.0
Kitsap,53035 2014,201453035,2014,53035,7.5,21.7,4.8,8.2,0.1,8.5,7.3,14.1,15,21.8,0.2,12.0,0.8,36.4,44.6,17.5,4.4,2.3,3.0
Kittitas,53037 2014,201453037,2014,53037,7.7,25.0,3.3,9.4,,7.6,7.0,10.5,13.5,20.7,,9.3,0.5,29.7,40.2,19.1,3.6,2.6,2.5
Klickitat,53039 2014,201453039,2014,53039,6.5,20.0,2.9,8.0,,8.2,7.0,9.8,13.1,21.0,,12.2,0.6,29.9,36.3,17.6,2.7,2.0,2.2
Lewis,53041 2014,201453041,2014,53041,8.4,23.2,3.7,8.4,,9.8,6.7,14.9,15.6,23.7,,13.7,0.8,35.0,43.5,21.1,3.9,2.2,3.5
Lincoln,53043 2014,201453043,2014,53043,6.3,26.9,3.1,6.9,,7.1,7.2,11.2,13.4,22.7,,8.1,0.7,33.1,43.3,19.7,5.1,2.4,2.7
Mason,53045 2014,201453045,2014,53045,7.6,25.9,4.0,8.1,0.1,9.1,6.8,11.7,14.1,22.6,0.1,11.5,0.9,34.4,43.6,20.7,3.4,1.8,2.8
Okanogan,53047 2014,201453047,2014,53047,5.8,20.1,3.1,7.4,,9.1,7.0,13.2,13.9,21.7,,9.5,0.6,33.9,40.8,18.6,3.1,1.8,2.8
Pacific,53049 2014,201453049,2014,53049,6.7,24.3,3.3,9.0,,9.8,6.7,11.0,12.8,26.5,0.2,12.5,0.7,39.3,47.8,21.8,2.9,1.9,2.5
Pend Oreille,53051 2014,201453051,2014,53051,5.3,23.7,2.8,6.0,,9.2,5.8,10.5,11.3,21.1,,9.2,0.7,28.8,35.9,18.0,3.4,2.1,2.3
Pierce,53053 2014,201453053,2014,53053,8.1,24.5,4.7,7.7,0.2,9.3,7.2,17.0,15.2,23.2,0.2,12.7,1.0,37.4,46.0,20.0,5.3,3.2,3.1
San Juan,53055 2014,201453055,2014,53055,7.0,19.4,2.4,8.4,,3.3,7.3,7.0,10.1,11.3,,7.7,0.3,25.9,30.6,14.9,2.7,1.2,2.5
Skagit,53057 2014,201453057,2014,53057,7.4,23.9,3.2,9.2,0.1,7.4,7.5,12.6,15.2,21.2,0.1,10.4,0.7,32.9,43.9,19.3,3.5,2.2,2.8
Skamania,53059 2014,201453059,2014,53059,6.6,20.1,3.8,7.4,,9.0,5.6,11.3,14.8,19.3,,11.2,1.2,26.8,42.2,16.9,2.9,1.4,2.9
Snohomish,53061 2014,201453061,2014,53061,8.5,22.4,4.3,8.4,0.1,7.6,7.1,17.1,15.8,22.2,0.2,11.1,1.0,32.4,42.3,19.2,3.7,3.2,3.3
Spokane,53063 2014,201453063,2014,53063,9.2,26.7,4.6,8.4,0.2,9.2,7.5,14.9,16.2,21.3,0.3,10.5,0.7,35.7,44.8,19.8,6.0,4.3,3.1
Stevens,53065 2014,201453065,2014,53065,6.8,26.7,4.3,6.9,,10.3,6.7,11.1,11.9,20.9,,8.7,0.5,28.9,38.1,19.9,4.4,2.5,3.0
Thurston,53067 2014,201453067,2014,53067,9.1,23.7,4.1,7.4,0.2,7.8,6.6,15.2,15.6,21.0,0.2,11.9,0.7,31.5,40.5,18.8,4.4,3.1,2.8
Wahkiakum,53069 2014,201453069,2014,53069,5.0,22.5,3.9,8.4,,10.5,6.5,15.3,15.1,22.8,0.0,15.0,,34.3,42.6,20.6,3.8,1.4,3.4
Walla Walla,53071 2014,201453071,2014,53071,11.0,26.5,4.7,9.8,,9.1,8.4,15.5,16.7,23.1,0.2,13.6,0.6,38.7,45.5,23.2,6.4,2.9,3.3
Whatcom,53073 2014,201453073,2014,53073,8.2,22.3,4.4,9.0,0.2,7.7,6.8,12.8,16.2,21.4,0.3,11.3,1.6,34.5,42.7,19.9,5.1,3.5,2.9
Whitman,53075 2014,201453075,2014,53075,9.1,32.3,5.6,8.2,,9.4,7.2,13.9,12.2,23.7,,12.7,0.4,31.0,43.8,21.7,5.4,3.0,3.1
Yakima,53077 2014,201453077,2014,53077,8.4,25.5,4.7,7.2,0.1,9.2,7.0,15.2,17,27.7,0.1,12.6,0.7,40.3,49.3,22.3,4.7,3.2,2.9
State Total,.2015,201553000,2015,.,8.6,24.6,4.5,8.2,0.1,8.6,7.2,16.3,16.1,22.2,0.2,11.2,1.0,34.8,44.3,19.6,4.8,3.0,3.0
Adams,53001 2015,201553001,2015,53001,8.5,26.7,4.5,7.4,,8.6,6.4,18.1,11.9,29.4,,10.8,,35.1,46.1,24.0,3.4,2.0,3.2
Asotin,53003 2015,201553003,2015,53003,7.3,30.2,6.1,8.9,,11.4,7.7,15.0,16.5,25.4,,14.7,0.8,36.7,47.6,22.5,4.6,2.7,2.6
Benton,53005 2015,201553005,2015,53005,10.0,29.3,6.1,8.0,0.2,10.8,8.1,20.3,16.4,26.2,0.1,11.0,0.7,46.9,51.9,21.5,5.3,2.6,3.5
Chelan,53007 2015,201553007,2015,53007,9.8,23.7,3.7,9.4,0.1,8.8,7.9,16.1,18.1,21.5,,9.9,0.7,34.0,46.5,18.5,5.2,2.3,3.2
Clallam,53009 2015,201553009,2015,53009,7.7,27.9,5.3,8.7,0.1,9.2,7.2,14.6,16.2,20.5,0.1,12.1,1.0,35.3,46.9,18.9,5.2,1.9,3.3
Clark,53011 2015,201553011,2015,53011,9.3,22.3,5.5,8.2,0.2,9.0,6.3,16.6,18.2,23.5,0.2,12.7,1.2,31.7,42.8,19.5,5.0,3.6,2.8
Columbia,53013 2015,201553013,2015,53013,8.4,23.4,4.8,8.6,,11.2,5.7,19.2,14.1,26.3,,12.1,,38.3,45.4,21.0,3.6,4.4,2.1
Cowlitz,53015 2015,201553015,2015,53015,9.2,24.1,5.6,8.6,0.2,11.4,6.5,17.9,19,24.5,0.2,14.8,1.1,30.4,44.3,20.0,5.6,4.5,2.9
Douglas,53017 2015,201553017,2015,53017,9.1,25.2,4.2,9.7,,9.7,8.6,17.6,17.8,23.8,,10.9,0.9,39.1,49.8,19.6,5.1,2.2,2.9
Ferry,53019 2015,201553019,2015,53019,4.2,24.9,3.1,6.3,0.0,9.2,5.1,10.2,10.2,18.6,,10.3,0.9,25.3,31.4,20.3,2.8,1.4,2.5
Franklin,53021 2015,201553021,2015,53021,9.4,30.0,5.3,6.6,,10.1,6.7,19.8,14.9,29.1,0.2,10.2,0.6,46.6,50.0,22.0,5.1,2.3,3.7
Garfield,53023 2015,201553023,2015,53023,9.3,29.4,4.2,7.9,,8.2,7.9,11.9,11,20.6,,14.5,,26.4,39.0,20.5,3.8,2.8,3.1
Grant,53025 2015,201553025,2015,53025,8.9,26.2,3.6,7.8,,10.4,6.4,17.1,14.9,28.0,0.1,11.6,0.6,37.2,49.6,20.5,3.2,2.2,2.6
Grays Harbor,53027 2015,201553027,2015,53027,6.7,24.8,4.4,8.6,0.1,10.7,6.5,16.8,13.6,25.0,0.1,13.9,0.9,35.4,46.8,19.9,2.2,2.4,3.0
Island,53029 2015,201553029,2015,53029,6.6,24.2,3.8,8.4,0.2,6.5,7.6,13.5,13.1,20.2,0.1,9.7,0.6,33.4,41.3,17.9,3.2,1.4,2.4
Jefferson,53031 2015,201553031,2015,53031,5.2,23.9,3.7,7.7,,6.3,7.9,11.5,14,16.5,,8.9,0.9,29.0,38.8,16.2,3.6,1.4,2.8
King,53033 2015,201553033,2015,53033,9.8,23.0,4.2,8.3,0.2,6.7,7.3,16.7,15.7,20.2,0.5,10.4,1.2,32.7,42.5,19.2,5.3,3.5,3.1
Kitsap,53035 2015,201553035,2015,53035,7.4,22.8,5.1,8.2,0.2,8.8,7.6,15.1,16.5,21.4,0.2,11.5,0.8,36.2,44.6,17.6,4.7,2.4,2.8
Kittitas,53037 2015,201553037,2015,53037,7.9,24.7,3.4,8.9,,7.9,6.9,12.4,13.4,20.5,,9.3,0.6,28.2,40.8,19.3,3.8,2.3,2.4
Klickitat,53039 2015,201553039,2015,53039,6.5,20.2,3.3,8.0,,8.5,6.9,10.3,12.7,20.7,,11.7,0.6,26.9,36.3,17.0,2.9,2.0,2.2
Lewis,53041 2015,201553041,2015,53041,8.5,22.6,3.8,7.8,,10.0,6.2,16.5,15.8,23.4,0.1,13.1,0.9,34.5,43.7,20.4,3.8,2.1,3.1
Lincoln,53043 2015,201553043,2015,53043,6.9,28.2,4.1,6.9,,8.4,6.7,11.7,14.2,22.6,,7.8,0.7,31.7,43.5,18.6,5.3,2.1,2.7
Mason,53045 2015,201553045,2015,53045,8.0,27.3,4.1,7.9,0.1,10.3,7.1,13.5,15.6,22.5,0.1,10.6,1.1,35.7,44.3,20.5,3.8,2.1,2.7
Okanogan,53047 2015,201553047,2015,53047,5.8,20.3,3.6,7.5,,9.8,6.6,14.2,14.8,21.4,,9.2,0.8,32.2,41.9,18.4,3.4,1.8,2.8
Pacific,53049 2015,201553049,2015,53049,5.8,23.8,3.4,9.5,,10.0,6.5,13.2,13.2,26.6,0.2,11.8,0.7,36.8,46.7,21.4,2.4,2.1,2.7
Pend Oreille,53051 2015,201553051,2015,53051,5.8,23.6,3.3,6.0,,10.5,5.9,11.9,11.8,21.2,,9.2,0.7,29.8,37.0,17.9,3.1,2.0,2.7
Pierce,53053 2015,201553053,2015,53053,8.2,25.3,4.9,7.7,0.2,9.6,7.2,18.1,16.3,23.0,0.2,12.5,1.1,37.7,46.6,20.4,5.5,3.1,3.0
San Juan,53055 2015,201553055,2015,53055,6.6,19.6,2.4,8.3,,3.2,7.3,7.5,10.8,11.3,,7.7,0.6,25.1,28.9,14.7,2.7,1.1,2.4
Skagit,53057 2015,201553057,2015,53057,7.2,24.8,3.4,9.5,0.1,7.9,7.5,13.9,15.1,20.9,0.1,10.6,0.7,32.3,44.0,19.4,3.7,2.0,2.8
Skamania,53059 2015,201553059,2015,53059,6.2,20.7,4.1,7.3,,7.5,4.4,12.5,14.5,18.0,,9.5,1.2,24.3,41.7,17.9,3.0,1.9,2.6
Snohomish,53061 2015,201553061,2015,53061,8.6,22.7,4.2,8.3,0.1,7.9,7.1,18.4,17,22.2,0.2,10.8,1.1,32.8,42.0,18.9,4.0,3.4,3.1
Spokane,53063 2015,201553063,2015,53063,9.3,26.8,4.9,8.3,0.2,9.5,7.4,16.1,17.7,21.1,0.3,10.4,0.7,35.6,45.2,19.7,6.1,4.1,3.0
Stevens,53065 2015,201553065,2015,53065,6.6,26.8,4.7,6.8,,10.5,6.7,12.2,12.5,20.6,,8.5,0.6,27.8,38.8,19.0,3.6,2.2,2.9
Thurston,53067 2015,201553067,2015,53067,9.3,23.9,4.1,7.3,0.2,8.0,6.6,16.4,16,21.2,0.2,11.5,0.9,30.6,39.8,17.9,4.3,2.9,2.7
Wahkiakum,53069 2015,201553069,2015,53069,5.3,23.6,5.8,9.7,0.0,9.7,8.1,16.6,15.7,23.7,0.0,14.4,,38.6,45.6,20.9,4.5,1.6,2.8
Walla Walla,53071 2015,201553071,2015,53071,10.9,27.2,5.6,9.9,,9.5,8.0,17.8,17.9,23.0,0.1,13.7,0.7,39.6,46.7,22.3,6.7,2.5,3.3
Whatcom,53073 2015,201553073,2015,53073,8.3,23.3,4.6,8.8,0.2,8.1,7.0,15.0,17.6,21.3,0.3,11.0,1.6,35.1,44.3,20.3,5.8,3.4,3.1
Whitman,53075 2015,201553075,2015,53075,9.2,34.0,5.4,8.5,,10.5,7.1,14.7,14.1,23.7,,13.1,0.3,30.5,44.0,22.2,5.0,2.8,3.1
Yakima,53077 2015,201553077,2015,53077,8.4,25.8,4.9,7.3,0.1,9.9,7.0,16.7,17.5,27.6,0.1,12.4,0.8,41.4,50.5,22.1,4.7,3.0,2.5
State Total,.2016,201653000,2016,.,8.8,26.0,4.4,8.0,0.2,8.7,7.2,19.0,16,22.1,0.2,11.3,1.0,33.4,44.8,19.6,4.9,2.5,2.9
Adams,53001 2016,201653001,2016,53001,8.9,28.1,3.6,6.4,,8.2,5.5,20.7,10.1,28.7,,10.0,,32.9,46.7,22.7,3.3,1.5,2.8
Asotin,53003 2016,201653003,2016,53003,9.0,31.9,5.5,8.8,,12.3,7.8,18.5,16.6,25.0,,13.7,0.7,35.8,49.5,21.6,5.4,1.7,3.3
Benton,53005 2016,201653005,2016,53005,10.3,32.1,5.8,7.7,0.2,10.3,8.0,24.5,16.6,26.2,0.1,11.5,0.7,45.0,52.3,21.4,5.1,1.9,3.4
Chelan,53007 2016,201653007,2016,53007,9.6,25.0,3.4,8.2,0.1,8.4,6.9,18.7,18,21.2,0.1,9.6,0.6,29.8,45.5,18.1,4.3,2.0,2.7
Clallam,53009 2016,201653009,2016,53009,7.5,28.0,4.8,8.8,0.1,9.2,7.1,16.7,16.3,20.1,0.1,12.6,1.0,32.2,46.1,18.4,5.4,1.6,3.4
Clark,53011 2016,201653011,2016,53011,9.6,23.0,5.3,8.0,0.3,9.1,6.5,19.7,16.6,23.4,0.2,13.0,1.1,30.4,43.2,19.1,5.0,3.2,2.9
Columbia,53013 2016,201653013,2016,53013,8.9,26.6,4.5,8.5,,10.3,7.1,19.7,14.6,25.0,,11.4,,35.3,42.0,21.0,4.2,4.5,1.9
Cowlitz,53015 2016,201653015,2016,53015,8.8,26.0,5.5,8.1,0.2,11.8,6.1,20.6,18.3,23.8,0.2,14.2,1.1,29.2,45.2,20.2,5.1,3.7,2.9
Douglas,53017 2016,201653017,2016,53017,9.6,27.0,3.8,8.2,,9.4,8.2,21.0,17.4,24.2,,10.3,0.8,35.1,49.0,19.2,4.8,1.7,3.0
Ferry,53019 2016,201653019,2016,53019,4.8,24.6,2.8,5.9,0.0,9.3,4.5,12.7,9.9,18.8,,9.1,1.3,24.6,32.8,18.7,3.2,1.0,3.3
Franklin,53021 2016,201653021,2016,53021,9.5,31.7,5.3,6.6,,10.0,6.4,24.8,14.9,29.9,0.1,11.6,0.8,44.4,53.0,22.3,5.3,1.7,3.5
Garfield,53023 2016,201653023,2016,53023,11.8,29.3,3.6,8.2,,9.4,8.1,19.4,14.6,23.2,,14.8,,33.1,46.8,22.0,3.9,2.1,2.7
Grant,53025 2016,201653025,2016,53025,9.3,28.4,3.3,7.9,0.1,11.0,6.5,21.5,15.6,28.0,0.1,11.3,0.8,36.3,50.5,20.1,3.2,2.0,2.7
Grays Harbor,53027 2016,201653027,2016,53027,6.9,26.2,4.5,8.7,0.1,11.4,6.9,19.4,13.7,25.4,0.2,14.5,1.1,35.0,47.4,20.5,2.9,2.0,3.3
Island,53029 2016,201653029,2016,53029,6.8,26.0,4.1,8.3,0.2,6.7,7.8,15.6,12.8,20.0,0.1,9.6,0.6,31.0,41.9,17.4,3.5,1.1,2.5
Jefferson,53031 2016,201653031,2016,53031,5.5,23.3,3.5,7.9,,6.1,7.6,13.4,13.8,16.5,,8.3,0.9,25.9,38.4,15.4,3.3,1.0,2.6
King,53033 2016,201653033,2016,53033,10.0,24.4,4.1,8.2,0.2,6.7,7.4,19.3,15.6,20.2,0.5,10.5,1.3,31.6,43.0,19.4,5.5,3.0,3.1
Kitsap,53035 2016,201653035,2016,53035,7.8,24.5,5.2,8.0,0.2,9.0,7.7,17.6,16.6,21.3,0.2,11.6,0.9,34.6,44.5,18.1,4.8,2.1,2.7
Kittitas,53037 2016,201653037,2016,53037,8.6,25.6,2.9,8.6,0.2,8.1,7.0,14.8,12.7,20.2,,9.5,0.6,29.0,42.2,18.6,3.9,1.6,2.4
Klickitat,53039 2016,201653039,2016,53039,6.5,22.3,3.8,7.9,,8.2,6.4,11.6,12.8,20.0,,11.0,0.7,26.0,36.8,16.9,3.3,1.6,2.3
Lewis,53041 2016,201653041,2016,53041,8.3,25.8,4.0,7.7,0.1,10.9,6.6,19.5,15.7,23.3,0.1,13.3,0.9,33.8,45.5,20.1,3.5,1.8,3.0
Lincoln,53043 2016,201653043,2016,53043,7.4,28.5,3.4,7.3,,8.7,7.0,14.8,14.2,23.1,,7.9,,32.8,44.8,17.6,4.8,1.4,3.0
Mason,53045 2016,201653045,2016,53045,7.8,27.5,3.9,7.7,0.2,9.6,7.0,16.9,15.8,22.3,0.1,10.4,1.2,33.5,44.5,20.1,3.8,1.6,2.6
Okanogan,53047 2016,201653047,2016,53047,6.1,23.1,2.9,6.7,,9.3,6.2,17.4,15,21.5,,9.1,1.0,29.0,42.1,18.1,3.4,1.4,2.7
Pacific,53049 2016,201653049,2016,53049,6.5,24.6,2.9,9.8,,10.6,6.7,17.8,12.7,26.7,0.2,11.6,0.9,37.8,47.8,20.8,2.7,1.5,2.6
Pend Oreille,53051 2016,201653051,2016,53051,5.2,24.0,2.9,5.7,,9.6,6.0,14.4,12.5,21.9,,9.2,0.7,27.6,36.9,17.8,3.5,1.2,2.3
Pierce,53053 2016,201653053,2016,53053,8.5,26.8,4.9,7.8,0.2,9.6,7.3,21.0,16.5,23.0,0.2,12.6,1.1,36.4,46.9,20.8,5.5,2.7,2.8
San Juan,53055 2016,201653055,2016,53055,6.0,21.6,2.7,7.7,,3.3,6.9,8.7,10.2,11.0,,6.7,0.6,23.9,29.2,14.3,2.7,0.9,2.4
Skagit,53057 2016,201653057,2016,53057,7.2,27.0,3.7,9.2,0.2,7.8,7.4,15.9,14.6,20.6,0.1,10.3,0.8,31.4,44.8,19.0,3.6,1.5,2.9
Skamania,53059 2016,201653059,2016,53059,6.9,21.6,4.4,8.3,,8.2,4.7,14.1,14.8,18.2,,9.8,1.1,25.4,41.9,19.2,3.6,1.9,2.2
Snohomish,53061 2016,201653061,2016,53061,9.1,23.7,4.2,8.3,0.2,7.9,7.2,20.7,16.9,22.0,0.2,11.2,1.2,31.5,43.1,19.2,4.2,2.9,3.1
Spokane,53063 2016,201653063,2016,53063,9.5,28.5,4.8,7.9,0.2,9.8,7.6,18.7,17.7,21.1,0.3,10.4,0.8,35.1,46.4,19.7,6.5,3.2,3.1
Stevens,53065 2016,201653065,2016,53065,6.4,28.1,4.5,6.9,,10.5,6.5,14.5,12.6,19.8,,9.2,0.8,28.3,39.0,18.7,3.9,1.4,2.8
Thurston,53067 2016,201653067,2016,53067,9.2,25.5,4.0,7.2,0.2,8.0,6.8,18.2,16.1,21.0,0.2,11.5,0.9,30.0,39.6,17.8,4.3,2.7,2.9
Wahkiakum,53069 2016,201653069,2016,53069,5.1,25.8,4.2,9.6,0.0,7.3,6.5,19.2,13.8,23.3,,12.9,,32.1,44.0,19.5,4.2,1.4,2.5
Walla Walla,53071 2016,201653071,2016,53071,10.9,29.6,5.5,10.0,0.2,9.0,7.7,20.4,17.7,23.2,0.1,13.3,0.7,40.1,48.2,21.8,7.3,2.0,3.3
Whatcom,53073 2016,201653073,2016,53073,8.5,26.5,4.3,8.3,0.1,8.0,7.1,17.2,16.1,21.0,0.3,11.0,1.6,33.8,44.3,20.4,5.6,2.6,2.7
Whitman,53075 2016,201653075,2016,53075,9.4,33.8,4.5,8.4,0.2,10.0,6.8,16.4,13.9,23.3,,12.7,0.3,28.7,44.2,21.2,5.1,2.3,3.2
Yakima,53077 2016,201653077,2016,53077,8.8,26.6,4.6,7.2,0.1,9.9,6.8,21.1,17.6,28.0,0.1,12.7,0.8,39.4,50.9,21.9,5.2,2.4,2.6
State Total,.2017,201753000,2017,.,9.0,26.8,4.5,8.1,0.2,8.7,7.2,20.4,16.3,22.0,0.2,11.6,1.0,34.6,45.1,19.6,5.1,2.2,2.9
Adams,53001 2017,201753001,2017,53001,8.0,27.8,4.8,6.5,,7.9,6.6,22.1,11.2,29.0,,10.2,,33.2,47.3,21.2,3.1,1.1,2.8
Asotin,53003 2017,201753003,2017,53003,10.0,33.5,6.1,8.6,,13.8,8.8,21.2,18.3,25.6,,14.4,0.9,38.2,52.3,21.5,5.9,1.6,3.7
Benton,53005 2017,201753005,2017,53005,10.5,32.3,5.5,7.5,0.2,10.9,8.2,25.9,17,26.3,0.1,11.6,0.7,44.6,52.5,20.9,5.1,1.6,3.0
Chelan,53007 2017,201753007,2017,53007,10.1,26.9,3.6,8.4,0.1,7.9,6.9,20.0,19.1,20.9,0.1,9.7,0.7,33.7,46.4,18.3,4.7,1.9,2.6
Clallam,53009 2017,201753009,2017,53009,7.8,29.1,4.6,8.5,0.1,9.3,7.1,18.2,16.3,19.8,0.1,14.9,1.0,32.4,45.3,18.9,5.3,1.4,3.2
Clark,53011 2017,201753011,2017,53011,9.4,22.7,5.7,8.3,0.3,9.1,6.5,20.2,16.6,23.2,0.1,13.3,1.1,32.3,42.5,19.1,5.2,2.9,2.7
Columbia,53013 2017,201753013,2017,53013,9.5,24.7,4.8,8.7,,11.2,6.8,19.9,16.4,23.5,,12.3,,41.2,43.4,21.1,5.5,4.2,2.2
Cowlitz,53015 2017,201753015,2017,53015,8.7,27.5,5.4,8.3,0.3,11.6,6.5,22.6,19.3,24.2,0.2,14.6,1.1,32.0,46.8,21.0,5.5,3.2,3.1
Douglas,53017 2017,201753017,2017,53017,10.1,28.8,3.9,8.2,,8.7,8.3,22.2,18.5,24.1,,10.3,0.8,39.2,50.4,20.6,4.5,1.6,2.6
Ferry,53019 2017,201753019,2017,53019,4.9,23.7,2.6,5.8,0.0,8.3,5.1,13.5,10.8,19.1,,8.4,1.2,25.9,33.7,18.5,2.9,,3.3
Franklin,53021 2017,201753021,2017,53021,9.3,31.2,5.3,6.9,0.1,9.8,6.5,27.0,15.5,30.3,,12.3,0.8,45.0,53.5,22.6,4.9,1.3,3.1
Garfield,53023 2017,201753023,2017,53023,11.8,30.8,3.4,9.2,0.0,9.2,7.1,22.0,18.5,24.0,,16.3,,33.6,47.9,21.8,4.7,,3.0
Grant,53025 2017,201753025,2017,53025,9.3,30.3,3.6,7.3,0.1,10.5,6.4,23.2,16,28.0,0.1,11.2,0.7,37.4,50.8,20.1,3.3,1.8,2.5
Grays Harbor,53027 2017,201753027,2017,53027,6.7,28.0,4.5,8.7,0.1,12.2,6.8,21.4,14.3,25.6,0.2,15.0,1.2,35.7,48.7,20.3,2.8,1.8,3.1
Island,53029 2017,201753029,2017,53029,6.7,26.6,4.0,8.4,0.2,6.5,7.4,16.1,13.2,19.8,0.1,9.5,0.5,32.0,41.3,16.9,3.7,1.1,2.5
Jefferson,53031 2017,201753031,2017,53031,6.0,23.8,3.3,8.2,,5.9,7.9,14.4,14.2,15.9,0.1,8.9,0.8,27.4,37.7,16.1,3.9,0.9,2.6
King,53033 2017,201753033,2017,53033,10.2,25.0,4.2,8.3,0.2,6.7,7.6,20.5,16.2,19.9,0.5,10.8,1.3,32.8,43.5,19.6,5.7,2.7,3.1
Kitsap,53035 2017,201753035,2017,53035,8.1,25.7,5.2,8.1,0.2,9.1,7.7,19.2,16.9,21.4,0.2,11.4,0.9,34.4,45.2,18.5,5.0,1.8,2.8
Kittitas,53037 2017,201753037,2017,53037,9.0,25.4,3.1,8.6,,7.4,6.7,15.7,13.5,20.2,,9.1,0.6,29.4,41.7,18.1,4.1,1.3,2.4
Klickitat,53039 2017,201753039,2017,53039,6.9,23.7,3.3,7.7,0.2,8.2,6.3,12.5,13.2,20.2,,11.1,0.9,27.2,36.5,17.7,3.4,1.3,2.7
Lewis,53041 2017,201753041,2017,53041,8.0,26.4,3.5,7.4,0.1,10.7,6.6,20.8,16.2,23.6,0.1,13.7,1.0,34.8,45.6,20.3,3.5,1.7,2.9
Lincoln,53043 2017,201753043,2017,53043,7.2,27.6,3.1,7.0,,8.9,6.9,15.8,13.9,22.5,,7.1,,33.9,45.0,17.8,4.9,0.8,3.1
Mason,53045 2017,201753045,2017,53045,7.2,28.3,3.6,7.6,0.2,9.9,7.1,18.7,16.4,22.1,0.1,10.5,1.2,36.0,45.2,20.0,3.9,1.4,2.5
